2017-07-26 11:28:31.741791: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-07-26 11:28:31.743968: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-07-26 11:28:31.743980: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-07-26 11:28:31.743985: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-07-26 11:28:31.743989: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-07-26 11:28:31.766411: E tensorflow/stream_executor/cuda/cuda_driver.cc:405] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2017-07-26 11:28:31.768573: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:158] retrieving CUDA diagnostic information for host: psy-pdp-guppy
2017-07-26 11:28:31.768621: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:165] hostname: psy-pdp-guppy
2017-07-26 11:28:31.771581: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:189] libcuda reported version is: 375.66.0
2017-07-26 11:28:31.772084: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:369] driver version file contents: """NVRM version: NVIDIA UNIX x86_64 Kernel Module  375.39  Tue Jan 31 20:47:00 PST 2017
GCC version:  gcc version 5.4.0 20160609 (Ubuntu 5.4.0-6ubuntu1~16.04.4) 
"""
2017-07-26 11:28:31.772113: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:193] kernel reported version is: 375.39.0
2017-07-26 11:28:31.772118: E tensorflow/stream_executor/cuda/cuda_diagnostics.cc:303] kernel version 375.39.0 does not match DSO version 375.66.0 -- cannot find working devices in this configuration
iter=0 : Lx: 5551.560059 Lz: 102.300598
iter=100 : Lx: -329071.906250 Lz: 1258.973633
iter=200 : Lx: -262943.812500 Lz: 456.547882
iter=300 : Lx: -496716.000000 Lz: 600.833496
iter=400 : Lx: -545533.750000 Lz: 493.545776
iter=500 : Lx: -452856.468750 Lz: 3948.838135
iter=600 : Lx: -555029.812500 Lz: 463.721069
iter=700 : Lx: -572668.187500 Lz: 338.614380
iter=800 : Lx: -632019.375000 Lz: 277.280853
iter=900 : Lx: -620428.062500 Lz: 398.366882
